Formação do Profissional em Biologia;GBI101;34;0;12A 20A;60
Biologia Celular;GBI102;34;51;12A;28
Biologia Celular;GBI102;34;51;12A 20A;56
Biologia Celular;GBI102;34;51;20A;28
Diversidade dos Seres Vivos;GBI103;17;17;12A;30
Diversidade dos Seres Vivos;GBI103;17;17;20A;30
Zoologia I;GBI104;34;34;12A 20A;50
Zoologia I;GBI104;34;34;12A;25
Zoologia I;GBI104;34;34;20A;25
Histologia e Anatomia Vegetal;GBI105;34;34;12A 12B 20A 20B;72
Histologia e Anatomia Vegetal;GBI105;34;34;12A;24
Histologia e Anatomia Vegetal;GBI105;34;34;20A;24
Histologia e Anatomia Vegetal;GBI105;34;34;12B 20B;24
Sistemática Biológica;GBI106;68;0;12A 20A;107
Biofísica;GBI107;34;34;12A 13A 20A;106
Biofísica;GBI107;34;34;13A 20A;42
Biofísica;GBI107;34;34;12A;64
Biologia de Algas Briófitas e Pteridófitas;GBI108;34;34;20A;35
Biologia de Algas Briófitas e Pteridófitas;GBI108;34;34;12A 20A;70
Biologia de Algas Briófitas e Pteridófitas;GBI108;34;34;12A;35
Zoologia II;GBI109;51;34;12A 20A;60
Zoologia II;GBI109;51;34;20A;30
Zoologia II;GBI109;51;34;12A;30
Biologia de Populações;GBI110;34;34;20A 5A;35
Biologia de Populações;GBI110;34;34;12A 20A 5A;65
Biologia de Populações;GBI110;34;34;12A;30
Microbiologia;GBI111;51;34;23A;25
Microbiologia;GBI111;51;34;12A;25
Microbiologia;GBI111;51;34;12A 12B 20A;75
Microbiologia;GBI111;51;34;20A;25
Microbiologia;GBI111;51;34;12B;25
Genética;GBI112;51;34;23A;50
Genética;GBI112;51;34;12A 20A;60
Genética;GBI112;51;34;12A;30
Genética;GBI112;51;34;20A;30
Metodologia Científica - Dbi;GBI113;34;0;12A 23A;35
Zoologia III;GBI114;51;34;12A 12B 20A;60
Zoologia III;GBI114;51;34;12B 20A;30
Zoologia III;GBI114;51;34;12A;30
Morfologia e Sistemática Vegetal;GBI115;34;34;12A 20A 5A 5B;127
Morfologia e Sistemática Vegetal;GBI115;34;34;5A;31
Morfologia e Sistemática Vegetal;GBI115;34;34;5B;31
Morfologia e Sistemática Vegetal;GBI115;34;34;12A;40
Morfologia e Sistemática Vegetal;GBI115;34;34;1A 1B 1C 1D 1E;150
Morfologia e Sistemática Vegetal;GBI115;34;34;1A;30
Morfologia e Sistemática Vegetal;GBI115;34;34;1B;30
Morfologia e Sistemática Vegetal;GBI115;34;34;1C;30
Morfologia e Sistemática Vegetal;GBI115;34;34;1D;30
Morfologia e Sistemática Vegetal;GBI115;34;34;20A;25
Morfologia e Sistemática Vegetal;GBI115;34;34;1E;30
Ecologia de Comunidades e Ecossistemas;GBI116;34;34;12A 20A;60
Ecologia de Comunidades e Ecossistemas;GBI116;34;34;12A;35
Ecologia de Comunidades e Ecossistemas;GBI116;34;34;20A;25
Bases Genéticas da Evolução;GBI117;34;0;12A 20A 7A;75
Anatomia Animal Comparada;GBI118;51;34;12A 20A;50
Anatomia Animal Comparada;GBI118;51;34;12A;25
Anatomia Animal Comparada;GBI118;51;34;20A;25
Fisiologia da Nutrição e Metabilismo Vegetal;GBI119;34;17;12A 20A;65
Fisiologia da Nutrição e Metabilismo Vegetal;GBI119;34;17;12A;40
Fisiologia da Nutrição e Metabilismo Vegetal;GBI119;34;17;20A;25
Biologia Molecular;GBI120;51;0;12A;25
Paleontologia;GBI122;34;34;12A;30
Fisiologia do Crescimento e Desenvolvimento Vegetal;GBI123;34;17;12A;30
Conservação de Recursos Naturais;GBI124;34;34;12A 5A;35
Biogeografia;GBI125;51;0;12A;30
Citologia;GBI128;17;34;1A 1B 1C 1D;112
Citologia;GBI128;17;34;1A;28
Citologia;GBI128;17;34;1E 5A 5B 5C;84
Citologia;GBI128;17;34;5A;28
Citologia;GBI128;17;34;1B;28
Citologia;GBI128;17;34;5B;28
Citologia;GBI128;17;34;1C;28
Citologia;GBI128;17;34;1D;28
Citologia;GBI128;17;34;1E 5C;28
Citologia;GBI128;17;34;11A 11B 19A;84
Citologia;GBI128;17;34;19A;28
Citologia;GBI128;17;34;11A;28
Citologia;GBI128;17;34;11B;28
Histologia e Anatomia de Angiospermas;GBI130;34;34;1A 1B;56
Histologia e Anatomia de Angiospermas;GBI130;34;34;1A;28
Histologia e Anatomia de Angiospermas;GBI130;34;34;1B;28
Histologia e Anatomia de Angiospermas;GBI130;34;34;1C 1D;56
Histologia e Anatomia de Angiospermas;GBI130;34;34;1C;28
Histologia e Anatomia de Angiospermas;GBI130;34;34;1D;28
Histologia e Anatomia de Angiospermas;GBI130;34;34;1E;28
Histologia e Anatomia de Angiospermas;GBI130;34;34;1F;28
Histologia e Anatomia de Angiospermas;GBI130;34;34;1E 1F;56
Zoologia;GBI131;17;34;1D 5A 5B;90
Zoologia;GBI131;17;34;5B;30
Zoologia;GBI131;17;34;1A 1B 1C;90
Zoologia;GBI131;17;34;1A;30
Zoologia;GBI131;17;34;1B;30
Zoologia;GBI131;17;34;5A;30
Zoologia;GBI131;17;34;1C;30
Zoologia;GBI131;17;34;1D;30
Microbiologia Geral;GBI132;34;34;1A 1B;50
Microbiologia Geral;GBI132;34;34;1A;25
Microbiologia Geral;GBI132;34;34;1E 2A 2B 2C;75
Microbiologia Geral;GBI132;34;34;2A;25
Microbiologia Geral;GBI132;34;34;1B;25
Microbiologia Geral;GBI132;34;34;11A;25
Microbiologia Geral;GBI132;34;34;1E 2C;25
Microbiologia Geral;GBI132;34;34;5A 5B;50
Microbiologia Geral;GBI132;34;34;5B;25
Microbiologia Geral;GBI132;34;34;1C 1D;50
Microbiologia Geral;GBI132;34;34;1C;25
Microbiologia Geral;GBI132;34;34;1D;25
Microbiologia Geral;GBI132;34;34;2B;25
Microbiologia Geral;GBI132;34;34;5A;25
Fisiologia Vegetal;GBI133;34;34;1C 1D;50
Fisiologia Vegetal;GBI133;34;34;1C;25
Fisiologia Vegetal;GBI133;34;34;1E 2A 2B 2C;70
Fisiologia Vegetal;GBI133;34;34;2B;25
Fisiologia Vegetal;GBI133;34;34;5A 5B;50
Fisiologia Vegetal;GBI133;34;34;5A;25
Fisiologia Vegetal;GBI133;34;34;1D;25
Fisiologia Vegetal;GBI133;34;34;2A;25
Fisiologia Vegetal;GBI133;34;34;1A 1B;50
Fisiologia Vegetal;GBI133;34;34;1A;25
Fisiologia Vegetal;GBI133;34;34;1B;25
Fisiologia Vegetal;GBI133;34;34;5B;25
Fisiologia Vegetal;GBI133;34;34;1E 2C;20
Ecologia Agrícola;GBI134;34;34;1A 1B 1C;90
Ecologia Agrícola;GBI134;34;34;1B;30
Ecologia Agrícola;GBI134;34;34;1D 3A;61
Ecologia Agrícola;GBI134;34;34;1D;30
Ecologia Agrícola;GBI134;34;34;3A;31
Ecologia Agrícola;GBI134;34;34;1A;30
Ecologia Agrícola;GBI134;34;34;1C;30
Genética na Agropecuária;GBI135;51;34;2A;30
Genética na Agropecuária;GBI135;51;34;5A;30
Genética na Agropecuária;GBI135;51;34;1A 1B 5A;90
Genética na Agropecuária;GBI135;51;34;1B;30
Genética na Agropecuária;GBI135;51;34;1A;30
Genética na Agropecuária;GBI135;51;34;1C 1D;60
Genética na Agropecuária;GBI135;51;34;1C;30
Genética na Agropecuária;GBI135;51;34;1D;30
Genética na Agropecuária;GBI135;51;34;2A 2B 2C 7A;90
Genética na Agropecuária;GBI135;51;34;2B;30
Genética na Agropecuária;GBI135;51;34;2C 7A;30
Ecologia;GBI136;34;34;11A 13A 2A 2B 7A 7B;109
Ecologia;GBI136;34;34;7A;27
Ecologia;GBI136;34;34;2A;30
Ecologia;GBI136;34;34;7B;27
Ecologia;GBI136;34;34;11A 13A 2B;25
Genética Veterinária;GBI137;51;34;7A 7B;62
Genética Veterinária;GBI137;51;34;7A;30
Genética Veterinária;GBI137;51;34;7B;32
Biologia Geral e Botânica;GBI138;0;34;3A;32
Ecologia Básica;GBI139;34;0;19A 5A;60
Hist e Anat das Espermatófitas;GBI140;34;17;5A 5B;60
Hist e Anat das Espermatófitas;GBI140;34;17;5A;30
Hist e Anat das Espermatófitas;GBI140;34;17;5B;30
Ecologia Geral e Aplicada;GBI142;34;34;19A 19B;60
Ecologia Geral e Aplicada;GBI142;34;34;19A;30
Ecologia Geral e Aplicada;GBI142;34;34;19B;30
Introdução à Anatomia Morfologia e Sistemática Vegetal;GBI143;34;34;2A 2B;75
Introdução à Anatomia Morfologia e Sistemática Vegetal;GBI143;34;34;2A;38
Introdução à Anatomia Morfologia e Sistemática Vegetal;GBI143;34;34;2B;37
Biologia Evolutiva;GBI147;34;0;12A 20A;20
Ecologia e Conservação de Ambientes Aquáticos;GBI152;17;17;12A 20A;30
Aspectos Evolutivos e Ecológicos em Crustácea;GBI166;34;34;12A 20A;20