Introdução à Zootecnia;GZO101;34;0;2A;70
Informática Aplicada à Zootecnia;GZO102;0;51;2A;35
Informática Aplicada à Zootecnia;GZO102;0;51;2B;35
Fisiologia da Digestão Animal;GZO103;34;0;2A;50
Análise de Alimentos para Animais;GZO104;17;34;2A;35
Análise de Alimentos para Animais;GZO104;17;34;2B;35
Alimentos para Animais;GZO105;34;0;2A;50
Nutrição de Monogástricos;GZO107;68;0;1A 2A;30
Bioclimatologia Animal;GZO109;51;0;2A;30
Nutrição de Ruminantes;GZO111;68;0;2A;20
Forragicultura Especial;GZO114;34;51;2A 2B;70
Avicultura;GZO116;34;34;2A 7A;56
Suinocultura;GZO117;34;34;2A 7A;40
Bovinocultura de Corte;GZO118;34;34;2A 7A;48
Bovinocultura de Leite;GZO119;34;34;2A 7A;44
Ovinocultura;GZO122;17;34;1A 2A 7A;40
Produção de Bovinos de Corte;GZO125;34;0;1A 3A;25
Produção de Bovinos de Leite;GZO126;34;0;1A 3A;25
Produção de Suinos;GZO127;34;0;1A 3A;25
Manejo de Animais Silvestres em Cativeiro;GZO128;34;0;12A 2A 7A;50
Melhoramento Animal;GZO129;51;0;7B;25
Melhoramento Animal;GZO129;51;0;7A;50
Fundamentos de Forragicultura;GZO130;34;17;7A 7B;68
Fundamentos de Forragicultura;GZO130;34;17;7A;32
Fundamentos de Forragicultura;GZO130;34;17;7B;36
Fundamentos de Nutrição Animal;GZO131;51;0;7A;50
Alimentos e Alimentação;GZO132;17;34;7A 7B;61
Alimentos e Alimentação;GZO132;17;34;7A;30
Alimentos e Alimentação;GZO132;17;34;7B;31
Produção Animal I;GZO133;51;51;7B;50
Produção Animal I;GZO133;51;51;7A;50
Produção Animal II;GZO134;51;51;7A;43
Zootecnia Geral;GZO135;17;34;1A;65
Zootecnia Geral;GZO135;17;34;1C;65
Aquicultura;GZO136;34;34;2A 2B 7A;65
Aquicultura;GZO136;34;34;2A 7A;40
Aquicultura;GZO136;34;34;2B;25
Caprinocultura;GZO137;17;34;2A 7A;41
Cunicultura;GZO139;17;34;2A 7A;40
Equinocultura;GZO140;34;34;1A 2A 7A;55
Nutrição de Cães e Gatos;GZO141;34;34;2A 7A;70
Avaliação e Qualidade de Carcaça;GZO143;17;17;2A;25
Comportamento e Bem-estar de Animais de Produção;GZO146;51;0;2A;25
Formulação de Rações para Cães e Gatos;GZO148;0;34;2A;25
Forragicultura;GZO149;34;34;1B;25
Forragicultura;GZO149;34;34;1A 1B 1F;75
Forragicultura;GZO149;34;34;1C 1D 1E;75
Forragicultura;GZO149;34;34;1A;25
Forragicultura;GZO149;34;34;1C;25
Forragicultura;GZO149;34;34;1D;25
Forragicultura;GZO149;34;34;1E;25
Forragicultura;GZO149;34;34;1F;25
Manejo de Pastagens;GZO150;17;17;2A;25
Melhoramento Genético Aplicado à Produção de Peixe;GZO152;34;0;2A;25
Microbiologia Zootécnica;GZO153;34;34;2A;25
Alimentos e Alimentação dos Animais;GZO155;17;34;1A 1B;56
Alimentos e Alimentação dos Animais;GZO155;17;34;1A;28
Alimentos e Alimentação dos Animais;GZO155;17;34;1B;28
Fisiologia Reprodução de Fêmeas;GZO156;34;34;2A;35
Seminários;GZO157;17;0;2A;30
Melhoramento Animal I;GZO159;34;34;2A;30
Fisiologia da Reprodução de Machos e Ins Artif;GZO160;34;34;2A;66
Alimentos e Alimentação Especial;GZO161;34;51;2A;47
Melhoramento Animal II;GZO164;34;34;2A;29